FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn/datasets/tests/data/openml/id_2/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/images/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/data/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/datasets/descr/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/_loss/__init__.py;28;0;2;0;0;0.0;0.0;0;0;1;3;0
./scikit-learn/sklearn/_loss/loss.py;974;59;204;36;12;3.31;3.0;1;0;71;13;1
./scikit-learn/sklearn/_loss/link.py;207;7;74;15;7;2.67;2.0;1;0;11;10;1
./scikit-learn/sklearn/_loss/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/_loss/tests/test_link.py;94;11;17;4;0;1.0;0.0;0;0;9;9;0
./scikit-learn/sklearn/_loss/tests/test_loss.py;1192;96;130;36;0;2.33;0.0;0;0;74;12;1
./scikit-learn/sklearn/tree/__init__.py;22;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/tree/_reingold_tilford.py;154;14;34;17;2;2.0;4.5;0;0;40;10;0
./scikit-learn/sklearn/tree/_classes.py;1577;57;362;24;5;2.33;4.8;9;0;77;13;0
./scikit-learn/sklearn/tree/_export.py;993;82;166;22;4;4.23;3.5;4;0;125;15;1
./scikit-learn/sklearn/tree/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/tree/tests/test_tree.py;2200;209;522;106;1;0.95;1.0;0;0;117;12;0
./scikit-learn/sklearn/tree/tests/test_reingold_tilford.py;43;6;6;2;0;1.5;0.0;0;0;5;12;0
./scikit-learn/sklearn/tree/tests/test_monotonic_tree.py;438;84;70;14;0;2.5;0.0;1;0;42;12;0
./scikit-learn/sklearn/tree/tests/test_export.py;475;39;71;11;0;0.55;0.0;0;0;18;14;1
./scikit-learn/sklearn/manifold/__init__.py;19;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/manifold/_mds.py;540;9;113;6;1;3.5;4.0;2;0;27;14;0
./scikit-learn/sklearn/manifold/_locally_linear.py;730;41;150;10;1;2.8;5.0;6;1;35;14;0
./scikit-learn/sklearn/manifold/_isomap.py;361;13;77;7;1;1.86;7.0;2;0;16;10;0
./scikit-learn/sklearn/manifold/_t_sne.py;1022;80;192;14;1;4.29;8.0;9;0;59;15;0
./scikit-learn/sklearn/manifold/_spectral_embedding.py;671;71;107;10;1;2.0;5.0;3;2;49;14;0
./scikit-learn/sklearn/manifold/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/manifold/tests/test_mds.py;63;5;24;6;0;0.5;0.0;0;0;5;8;0
./scikit-learn/sklearn/manifold/tests/test_isomap.py;278;32;70;16;0;2.0;0.0;0;0;17;11;0
./scikit-learn/sklearn/manifold/tests/test_spectral_embedding.py;474;52;67;16;0;1.56;0.0;0;1;27;10;0
./scikit-learn/sklearn/manifold/tests/test_locally_linear.py;136;19;35;7;0;0.71;0.0;0;0;5;10;0
./scikit-learn/sklearn/manifold/tests/test_t_sne.py;1039;103;168;55;1;0.8;2.0;0;1;44;12;0
./scikit-learn/sklearn/__check_build/__init__.py;43;5;8;1;0;1.0;0.0;1;1;5;10;1
./scikit-learn/sklearn/neighbors/__init__.py;40;0;2;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/neighbors/_nca.py;445;28;84;8;1;2.5;8.0;5;0;38;16;0
./scikit-learn/sklearn/neighbors/_graph.py;598;9;121;14;2;2.21;5.0;1;0;7;12;0
./scikit-learn/sklearn/neighbors/_lof.py;420;10;96;13;1;1.85;13.0;4;0;10;10;0
./scikit-learn/sklearn/neighbors/_base.py;1178;74;206;19;3;3.05;3.33;21;0;173;15;0
