,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
71,./scikit-learn/sklearn/impute/tests/test_knn.py,445,29,102,18,0,1.39,0.0,0,0,6,9,0
72,./scikit-learn/sklearn/impute/tests/test_common.py,182,12,38,9,0,1.56,0.0,0,0,5,11,0
74,./scikit-learn/sklearn/gaussian_process/__init__.py,12,4,3,0,0,0.0,0.0,0,0,1,3,1
77,./scikit-learn/sklearn/gaussian_process/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
79,./scikit-learn/sklearn/gaussian_process/tests/test_gpc.py,228,17,56,15,0,1.2,0.0,0,0,8,11,1
82,./scikit-learn/sklearn/experimental/__init__.py,6,0,1,0,0,0.0,0.0,0,0,1,2,1
83,./scikit-learn/sklearn/experimental/enable_hist_gradient_boosting.py,16,2,5,0,0,0.0,0.0,0,0,1,5,1
84,./scikit-learn/sklearn/experimental/enable_iterative_imputer.py,15,1,5,0,0,0.0,0.0,0,0,1,4,0
85,./scikit-learn/sklearn/experimental/enable_halving_search_cv.py,24,1,8,0,0,0.0,0.0,0,0,1,4,0
86,./scikit-learn/sklearn/experimental/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
87,./scikit-learn/sklearn/experimental/tests/test_enable_successive_halving.py,43,5,10,1,0,0.0,0.0,0,0,1,7,1
88,./scikit-learn/sklearn/experimental/tests/test_enable_iterative_imputer.py,41,5,10,1,0,0.0,0.0,0,0,1,7,1
89,./scikit-learn/sklearn/experimental/tests/test_enable_hist_gradient_boosting.py,14,0,5,1,0,0.0,0.0,0,0,1,7,1
92,./scikit-learn/sklearn/tests/test_check_build.py,10,2,5,1,0,0.0,0.0,0,0,2,7,0
93,./scikit-learn/sklearn/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
102,./scikit-learn/sklearn/tests/test_kernel_approximation.py,386,49,103,25,0,0.84,0.0,0,0,11,10,0
110,./scikit-learn/sklearn/tests/test_kernel_ridge.py,62,3,18,7,0,0.14,0.0,0,0,2,11,0
115,./scikit-learn/sklearn/tests/test_build.py,25,3,9,1,0,0.0,0.0,0,0,3,8,0
124,./scikit-learn/sklearn/model_selection/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
127,./scikit-learn/sklearn/model_selection/tests/test_plot.py,474,1,98,13,1,3.69,0.0,0,0,16,12,0
129,./scikit-learn/sklearn/model_selection/tests/test_classification_threshold.py,590,41,94,22,0,0.91,0.0,0,0,13,10,0
132,./scikit-learn/sklearn/semi_supervised/__init__.py,9,0,2,0,0,0.0,0.0,0,0,1,3,1
135,./scikit-learn/sklearn/semi_supervised/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
136,./scikit-learn/sklearn/semi_supervised/tests/test_label_propagation.py,195,12,43,12,0,2.42,0.0,0,0,7,11,0
137,./scikit-learn/sklearn/semi_supervised/tests/test_self_training.py,269,42,76,16,0,0.5,0.0,0,0,12,9,0
138,./scikit-learn/sklearn/mixture/__init__.py,6,0,2,0,0,0.0,0.0,0,0,1,3,1
142,./scikit-learn/sklearn/mixture/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
144,./scikit-learn/sklearn/mixture/tests/test_mixture.py,23,3,7,2,0,1.0,0.0,0,0,2,7,0
148,./scikit-learn/sklearn/decomposition/__init__.py,49,0,2,0,0,0.0,0.0,0,0,1,3,1
158,./scikit-learn/sklearn/decomposition/tests/test_factor_analysis.py,96,21,20,2,0,1.0,0.0,0,0,8,10,0
159,./scikit-learn/sklearn/decomposition/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
160,./scikit-learn/sklearn/decomposition/tests/test_sparse_pca.py,304,28,67,20,0,0.8,0.0,0,0,6,10,1
161,./scikit-learn/sklearn/decomposition/tests/test_online_lda.py,406,34,71,25,0,1.32,0.0,0,0,15,10,0
167,./scikit-learn/sklearn/decomposition/tests/test_truncated_svd.py,163,15,49,13,0,2.08,0.0,0,0,7,9,0
168,./scikit-learn/sklearn/decomposition/tests/test_incremental_pca.py,377,59,89,21,0,0.1,0.0,0,0,21,9,1
183,./scikit-learn/sklearn/datasets/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
185,./scikit-learn/sklearn/datasets/tests/test_olivetti_faces.py,19,1,7,1,0,1.0,0.0,0,0,2,8,0
187,./scikit-learn/sklearn/datasets/tests/test_california_housing.py,28,3,10,3,0,1.33,0.0,0,0,2,7,1
189,./scikit-learn/sklearn/datasets/tests/test_rcv1.py,55,9,16,1,0,2.0,0.0,0,0,3,10,0
190,./scikit-learn/sklearn/datasets/tests/test_covtype.py,38,2,17,3,0,1.67,0.0,0,0,2,9,1
191,./scikit-learn/sklearn/datasets/tests/test_20news.py,114,16,29,7,0,1.14,0.0,0,0,11,10,1
193,./scikit-learn/sklearn/datasets/tests/test_kddcup99.py,70,0,19,6,0,2.0,0.0,0,0,4,8,0
194,./scikit-learn/sklearn/datasets/tests/test_lfw.py,184,21,45,8,0,1.0,0.0,0,0,9,11,0
195,./scikit-learn/sklearn/datasets/tests/test_arff_parser.py,251,4,33,5,0,1.0,0.0,0,0,6,9,1
197,./scikit-learn/sklearn/datasets/tests/data/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
198,./scikit-learn/sklearn/datasets/tests/data/openml/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
199,./scikit-learn/sklearn/datasets/tests/data/openml/id_1/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
200,./scikit-learn/sklearn/datasets/tests/data/openml/id_40945/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
201,./scikit-learn/sklearn/datasets/tests/data/openml/id_42585/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
202,./scikit-learn/sklearn/datasets/tests/data/openml/id_561/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
203,./scikit-learn/sklearn/datasets/tests/data/openml/id_1590/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
204,./scikit-learn/sklearn/datasets/tests/data/openml/id_62/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
205,./scikit-learn/sklearn/datasets/tests/data/openml/id_292/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
